HITId,Input.orig_ad_url,Input.search,Input.work_from_home,Val1work_from_home,Val2work_from_home,Val3work_from_home,Chosen_work_from_home,All4Eq_work_from_home,Input.open_source,Val1open_source,Val2open_source,Val3open_source,Chosen_open_source,All4Eq_open_source,Input.startup,Val1startup,Val2startup,Val3startup,Chosen_startup,All4Eq_startup,Input.kegerator,Val1kegerator,Val2kegerator,Val3kegerator,Chosen_kegerator,All4Eq_kegerator,Input.bleeding_edge_tech,Val1bleeding_edge_tech,Val2bleeding_edge_tech,Val3bleeding_edge_tech,Chosen_bleeding_edge_tech,All4Eq_bleeding_edge_tech,Input.meaningful_jobs,Val1meaningful_jobs,Val2meaningful_jobs,Val3meaningful_jobs,Chosen_meaningful_jobs,All4Eq_meaningful_jobs,Input.relocation,Val1relocation,Val2relocation,Val3relocation,Chosen_relocation,All4Eq_relocation,Val1title,Val2title,Val3title,Chosen_title,Val1company,Val2company,Val3company,Chosen_company,Val1description,Val2description,Val3description,Chosen_description,Val1city,Val2city,Val3city,Chosen_city,Val1state,Val2state,Val3state,Chosen_state,Val1country_code,Val2country_code,Val3country_code,Chosen_country_code,Val1job_ad_url,Val2job_ad_url,Val3job_ad_url,Chosen_job_ad_url,NumRepeats
3EFNPKWBMRN84OHLYEC9SRPG38Z032,http://ca.indeed.com/rc/clk?jk=368221c553c849be,startup,"","",,,,,"","",,,,,on,on,,,,,on,on,,,,,"","",,,,,"","",,,,,,"",,,,,Senior Software Engineer - A Team,,,,OpenDNS,,,,"Required:

Experience designing, implementing, and supporting a large-scale customer-facing web property or service

Demonstrable PHP, Python, or JavaScript skills

In-depth knowledge of object-oriented concepts, programming, and systems design

Understanding of MVC/MVVM patterns and Service-Oriented Architecture

Excellent oral and written communication skills

Excellent analytical and troubleshooting skills



Nice to have:

Experience in an Agile environment

C, C#, Node.js

Memcached, Redis, Riak

MySQL, Propel",,,,Vancouver,,,,BC,,,,ca,,,,http://hire.jobvite.com/CompanyJobs/Careers.aspx?k=Job&c=q539VfwW&j=osBLYfww&s=Indeed,,,,1
3FI30CQHVJI8LU7DFW7WJBXJ43YB65,http://ca.indeed.com/rc/clk?jk=5a52d603126c3685,startup,"","","",,,,"","","",,,,on,on,on,,,,on,on,on,,,,"","","",,,,"","","",,,,,"","",,,,Cloud Perimeter - Mac Endpoint Developer,Cloud Perimeter - Mac Endpoint Developer,,,OpenDNS,OpenDNS,,,"OpenDNS is looking for  a sharp, experienced senior Mac/Linux software engineer to develop and extend the next wave of endpoint security. This is a chance to work on the team which extends the OpenDNS predictive security model out to the new cloud perimeter. If you have a passion for solving the trickiest of network connectivity problems and using new and creative solutions to keep user information safe, we want you.


Required:

- 5+ years experience developing software for Mac/Linux

- Demonstrated experience in C/C++/Objective C (i.e. previously released client software)

- Experience with TAP/TUN, VPN, DNS or HTTP clients on Mac/Linux

- Deep understanding of the iOS network stack and hooks

- Deep experience with writing daemons

- Cocoa, dtrace, XCode, and instruments

- On box Mac/Linux security","OpenDNS is looking for  a sharp, experienced senior Mac/Linux software engineer to develop and extend the next wave of endpoint security. This is a chance to work on the team which extends the OpenDNS predictive security model out to the new cloud perimeter. If you have a passion for solving the trickiest of network connectivity problems and using new and creative solutions to keep user information safe, we want you.",,,Vancouver,Vancouver,,,N/A,BC,,,ca,ca,,,http://hire.jobvite.com/CompanyJobs/Careers.aspx?k=Job&c=q539VfwW&j=oLBLYfwP&s=Indeed,http://hire.jobvite.com/CompanyJobs/Careers.aspx?k=Job&c=q539VfwW&j=oLBLYfwP&s=Indeed,,,2
35NNO802AUVQFNRBKNLU79NIUJ7INV,http://ca.indeed.com/rc/clk?jk=cbd9e54c13e05d2a,kegerator,"","","",,,,"","","",,,,"","","",,,,on,on,on,,,,"","","",,,,"","","",,,,,"","",,,,Intermediate Software Engineer,"Intermediate Software Engineer, Android",,,Hootsuite,Hootsuite,,,"Work shoulder to shoulder with talented, fun-loving engineers working on challenging problems.
Collaborate in small teams to design, build, and ship high quality software to Hootsuite's customers.
Iterate in an agile fashion, creating hypotheses and testing them with incremental code shipments through continuous integration.
Find opportunities to lead by nurturing the development of more junior Engineers.","Responsibilities:

Work shoulder to shoulder with talented, fun-loving engineers working on challenging problems.
Collaborate in small teams to design, build, and ship high quality software to Hootsuite's customers.
Iterate in an agile fashion, creating hypotheses and testing them with incremental code shipments through continuous integration.
Find opportunities to lead by nurturing the development of more junior Engineers.
Share your knowledge within the Engineering team as well as within the broader technical community by giving tech talks and writing blog posts.
Shape our engineering culture by improving our processes and codebases.",,,Vancouver,Vancouver,,,BC,BC,,,ca,ca,,,http://hootsuite.theresumator.com/apply/21291b1b56587f436665666b636e445a72601c087c3810131c74263025070b720a541b/Android-Engineer.html?source=INDE&sid=KFyDdhNwVVWSRXpnGWCG5tZCYLgtjVN3AlH,http://hootsuite.theresumator.com/apply/21291b1b56587f436665666b636e445a72601c087c3810131c74263025070b720a541b/Android-Engineer.html?source=INDE&sid=KFyDdhNwVVWSRXpnGWCG5tZCYLgtjVN3AlH,,,2
3HEM8MA6H8B3Z6R7DA3VK0JZL8PQP2,http://ca.indeed.com/rc/clk?jk=b00bb287690fe629,kegerator,"","",,,,,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,"","",,,,,,"",,,,,Backend Server Engineer (Canada),,,,GREE Game Studio,,,,"Responsibilities: (What you get to do every day)

Work closely with game teams to design, develop, implement and release the server application software to deliver large scale social games on multiple web and mobile platforms
Develop high-volume backend services using Php, node.js, and Python
Design and develop scalable and efficient application features for our games
Develop reliable software applications on Amazon's EC2 infrastructure
Optimize for scalability, efficiency and maintainability in a cost effective and practical manner",,,,Vancouver,,,,N/A,,,,ca,,,,http://hire.jobvite.com/CompanyJobs/Careers.aspx?k=Job&su=f8D9Vfwz&c=qS99VfwP&j=oUWMYfwk&s=Indeed&utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,,,,1
3IVEC1GSLOYJWR4SXI8WM3PF4XS1JJ,http://ca.indeed.com/rc/clk?jk=9d7af76d9c4b6cfc,kegerator,"","",,,,,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,"","",,,,,,"",,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,ca,,,,http://hire.jobvite.com/CompanyJobs/Careers.aspx?k=Job&su=f8D9Vfwz&c=qS99VfwP&j=oarhYfwA&s=Indeed&utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,,,,1
3BKZLF990YYX8KJ84XZEXRCBPDSYQ4,http://ca.indeed.com/rc/clk?jk=f8a8bbb1e1ab0b54,kegerator,"","",,,,,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,"","",,,,,,"",,,,,Software Design / Quality Automation Engineer,,,,Teradici PCoIP technology,,,,"Teradici PCoIP technology is the fabric of the virtual workspace. We power the spectrum of local, remote, mobile and collaborative work-styles, fundamentally simplifying how computing is provisioned, managed and used.

Overview:

Our Quality Engineering team is recruiting a Software Design Engineer to participate in the automated development and testing of Teradici’s PC-over-IP® (PCoIP®) solutions. As part of an Agile team at Teradici, you will help shape how desktop computing is delivered in enterprise environments. As a Software Design Engineer, you’ll specialize in designing, implementing, and executing automated test scripts for our PCoIP products.

To be successful candidate, applicants must:

Demonstrate passion for learning, testing, automation and quality,
Exhibit curiosity and excellent attention to detail,
be a strong team player, who is not afraid to speak up, ask questions and be heard.
Responsibilities:

Work as part of a Scrum team on the development and testing efforts of PCoIP endpoints, network infrastructure, or endpoint management solutions.
Design, develop, and architect automated testing coverage.
Make automated scripting more effective and efficient by:
Intelligently prioritizing what to automate,
Writing well-documented, reliable, shared, reusable and maintainable code,
Designing, developing, administering and maintaining test infrastructure.
Troubleshoot and isolate issues, file bug reports, and validate bug fixes.
Contribute to the appropriate test coverage in releases through the execution of test cases in a Manual and Automated manner.
Assist creating and maintaining complex test and development environments including Windows and Mac servers as well as Desktop Virtualization infrastructure.
Drive to improve – whether it relates to a process, a tool, infrastructure, or general team knowledge – look to assist in making the impossible possible.
Requirements:

Minimum 2 year-degree or diploma in Computer Science or Computer Engineering.
Experience:
Testing core (non GUI) Windows, Mac, or Linux, applications,
testing SDKs or APIs, services, drivers, or web and database applications,
architecting test frameworks or applications,
performance, stress and load testing,
working with and managing Virtual Infrastructure,
Unit, Acceptance testing techniques as well as TDD, BDD and OOP.
Strong technical and testing skills including:
Design and programming or scripting skills, including 4+ years of experience programming with at least 2 of the following: Python, Jython, TCL, Perl, Ruby, Java, C, C++, C#, PHP, JavaScript,
5+ years of experience in test planning, design, and prioritization experience with multi-tiered software/hardware applications.
Strong analytical, diagnostic and problem-solving skills.
Ability to work independently and to set your own tasks as part of an agile team.
Excellent verbal and written communication skills with an ability to collaborate with developers, product owners and other product team members.
Experience in context-based, exploratory, scenario and risk based testing techniques.
Bonus Points:

Experience testing GUI-based applications.
Windows system administration and virtualization experience.
Experience setting up and maintaining build environments.
Perks:

We offer a competitive base salary, Success Sharing Bonus (company performance based), retirement savings and attractive benefits package. We also offer three weeks of vacation for the first year (accrued and increased annually, up to 20 days per year).
Luxury shuttle service to the nearest SkyTrain station.
Underground and secured bike ""cage"".
Fully equipped onsite gym, and Basketball and ""Beach"" Volleyball courts. Or you can join our corporate soccer team.
Keywords:

Automation Engineer
Software Developer in Quality Engineering (or Test)
Developer in Test",,,,Burnaby,,,,BC,,,,ca,,,,http://www.jobscore.com/jobs2/teradici/software-design-quality-automation-engineer/bCQFzO9MKr47BgiGakhP3Q?Board=Indeed&PID=1835672,,,,1
32L724R85KJQI83O02YMBYSDUY8IPR,http://ca.indeed.com/rc/clk?jk=d4e94b06af122e1c,kegerator,"","",,,,,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,"","",,,,,,"",,,,,Senior Test Automation and System Test Engineer,,,,Avigilon,,,,"Key Responsibilities:
Develop, maintain and evolve current Avigilon End to End System Test methodology and practices.
Extend our System Test methodology and practices to all Avigilon products.
Develop Test Automation strategy and framework for firmware and software running on our camera platform.
Develop Test Automation strategy and framework for enterprise software solutions running on Windows, Linux and other platforms.
Apply industry standards and best practices in Test Automation into product development methodology.
Apply industry standard and best practices in System Test into product development methodology.
Define test cases, develop and implement tests and test scripts.
Log and track defects using the designated tracking system and tools. 
Develop cooperative relationships between the QA team and individuals/groups who are responsible for contributing test cases into the automation infrastructure.",,,,Vancouver,,,,BC,,,,ca,,,,https://careers-avigilon.icims.com/jobs/1234/senior-test-automation-and-system-test-engineer/job?mode=job&iis=Indeed&iisn=Indeed.com&mobile=false&width=1366&height=667&bga=true&needsRedirect=false,,,,1
3KVQ0UJWPWK4QT5A54TNEJW4I95W5Q,http://ca.indeed.com/rc/clk?jk=30c4302876abff8d,kegerator,"","",,,,,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,"","",,,,,,"",,,,,"Intermediate Software Engineer, Android",,,,Hootsuite,,,,"Responsibilities:

Work shoulder to shoulder with talented, fun-loving engineers working on challenging problems.
Collaborate in small teams to design, build, and ship high quality software to Hootsuite's customers.
Iterate in an agile fashion, creating hypotheses and testing them with incremental code shipments through continuous integration.
Find opportunities to lead by nurturing the development of more junior Engineers.
Share your knowledge within the Engineering team as well as within the broader technical community by giving tech talks and writing blog posts.
Shape our engineering culture by improving our processes and codebases.",,,,Vancouver,,,,BC,,,,ca,,,,http://hootsuite.theresumator.com/apply/520a383a627b7a630576036e01510c4276611021281578260a710a067d607d202c0f23/Intermediate-Software-Engineer-Android.html?source=INDE&sid=8eZePKKW5E2V0g8vCVOnaY2vOIKB218ag7p,,,,1
368IUKXGA47APO8NY1PXEV28L7E6PM,http://www.indeed.com/rc/clk?jk=79e0c3f6389fe081,work_from_home,on,on,on,,,,"","","",,,,"","","",,,,"","","",,,,on,on,on,,,,"","","",,,,,"","",,,,Python Developer,Python Developer (Remote),,,Dell,Dell,,,"We are looking for a top-notch Software Development Staff Engineer to help us build innovative security products/services. We protect our customers by disrupting attacker tradecraft so we can deny them access to the networks we protect. This is a challenging and also very rewarding position where interesting projects in security are implemented in order to protect our clients. If you are clever, have the technical chops for it, and are interested in protecting the good guys by disrupting the bad guys, our team may be right for you.
 
Role Responsibilities:
-Responsible for the design and development activities associated with software  using a range of applicable technologies (e.g., programming languages, compilers, assemblers, debuggers, other tools) for products used in local, networked or Internet-related computer programs
-Participates in product development in all stages including planning, design, development, testing, implementation and post deployment support
-Manages or utilizes software that is built and implemented as a product, using best-in-class development process/lifecycle management
-Drives idea generation for new software products, or for the next version of an existing product
-Works with the team to develop, maintain, and communicate current development schedules, timelines and development status
-Reviews requirements, specifications and designs to assure product quality; develops and implements plans and tests for product quality, scalability, performance assurance - See more at: http://jobs.dell.com/us/united-states/secureworks/jobid5560223-python-developer-(remote)-dell-secureworks#sthash.0m2bGOD9.dpuf","-Responsible for the design and development activities associated with software  using a range of applicable technologies (e.g., programming languages, compilers, assemblers, debuggers, other tools) for products used in local, networked or Internet-related computer programs
-Participates in product development in all stages including planning, design, development, testing, implementation and post deployment support - See more at: http://jobs.dell.com/us/united-states/secureworks/jobid5560223-python-developer-(remote)-dell-secureworks#sthash.VPBVv2k5.dpuf",,,Remote,Remote,,,N/A,n/a,,,us,us,,,"",http://jobs.dell.com/us/united-states/secureworks/jobid5560223-python-developer-%28remote%29-dell-secureworks,,,2
32TMVRKDGMXB495STWU7VBN406848F,http://www.indeed.com/rc/clk?jk=4face868f3bd7345,work_from_home,on,on,on,,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,,"","",,,,Application Engineer - West Coast Construction,Application Engineer - West Coast Construction,,,Dow Corning,Dow Corning,,,"Dow Corning's High Performance Building organization seeks an application engineer to provide technical and engineering support including Dow Corning's silicone solutions for existing products, commercialization of new products and targeted growth opportunities that align with our customer needs. This position will work closely with customers in the facade industry (Insulating Glass, Curtain Wall, Air Barrier) to provide project design and jobsite troubleshooting as well as identify and communicate unmet customer needs that can be translated into ""incremental innovation"" opportunities.

This role will work in partnership with our sales organization and be based in on the West Coast, preferably California. This position will support Western United States region including Mexico, and Western Canada. This application engineering role will travel frequently throughout the assigned territory to support our sales professionals in our high performance building organization.","Dow Corning's High Performance Building organization seeks an application engineer to provide technical and engineering support including Dow Corning's silicone solutions for existing products, commercialization of new products and targeted growth opportunities that align with our customer needs. This position will work closely with customers in the facade industry (Insulating Glass, Curtain Wall, Air Barrier) to provide project design and jobsite troubleshooting as well as identify and communicate unmet customer needs that can be translated into ""incremental innovation"" opportunities.

This role will work in partnership with our sales organization and be based in on the West Coast, preferably California. This position will support Western United States region including Mexico, and Western Canada. This application engineering role will travel frequently throughout the assigned territory to support our sales professionals in our high performance building organization. 

As a high performance building materials application engineer you will work to share application knowledge and benefits of silicone materials in the construction of high performance buildings. You will collaborate on solutions internally with peers and externally with new and existing customers. This role will actively participate and lead customer/stakeholder training associated with the construction industry and will support our designers and architects in the adaption of novel Dow Corning building materials.

Primary Responsibilities:
The application engineer will be responsible for identifying market trends and customer needs though participation on multifunctional teams resulting in the development of technical solutions. This role is responsible for building and extending key customer relationships and proactively differentiating Dow Corning’s technical capabilities and solutions for solving customer challenges in the construction industry. 

Additional duties and responsibilities:
The application engineer will also be responsible for the following activities:
• Supporting customer application trials for existing and new products and new applications within the targeted market segments. 
• Actively participating on standards committees and OEM sub teams to ensure Dow Corning technology is well positioned when Industry and OEM specifications are developed.
• Proactively monitoring competitive activity at key customers and working with other functions to develop action plans to address competitive threats.
• Actively participating in customer, market and/or technical teams, enhancing team know-how by sharing information and creating a collaborating culture.
• Working closely with commercial teams to understand the total value Dow Corning solutions bring to our customers.

Education and Experience Requirements: 
The selected candidate must have a minimum of a Bachelor’s Degree in Architecture, Facade Engineering, Mechanical Engineering Chemistry, Chemical Engineering, Material Science, or related field and a minimum of 7 years of professional experience. In addition, the selected candidate must have construction industry experience ideally in construction management, civil, facade, structural engineering or architecture experience.  It is preferred that the ideal candidate has the ability to speak/understand Spanish.",,,Remote,Remote,,,N/A,N/A,,,us,us,,,https://careers.peopleclick.com/careerscp/client_dowcorning/external/gateway.do?functionName=viewFromLink&jobPostId=4680&localeCode=en-us&source=Indeed.com&sourceType=PREMIUM_POST_SITE,https://careers.peopleclick.com/careerscp/client_dowcorning/external/gateway.do?functionName=viewFromLink&jobPostId=4680&localeCode=en-us&source=Indeed.com&sourceType=PREMIUM_POST_SITE,,,2
